customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50158,1,One year,100.1,93.79,DSL,No,Yes,Yes,Mailed check,No,1,Yes,No,Yes,No,4,28.23,0,1,1
CUST50159,25,Month-to-month,83.1,2018.28,DSL,No,Yes,No,Electronic check,Yes,0,No,No,No,No phone service,2,11.65,0,0,0
CUST50160,13,Month-to-month,38.37,505.93,DSL,No,No,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,3,14.99,0,0,0
CUST50161,11,Two year,32.97,317.15,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,No,No phone service,2,1.71,0,0,0
CUST50162,18,Month-to-month,33.59,536.59,Fiber optic,No,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,Yes,3,22.67,1,0,1
CUST50163,9,Two year,117.8,1048.35,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,Yes,Yes,No,0,0.0,0,1,0
CUST50164,2,Month-to-month,110.87,240.62,Fiber optic,Yes,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,4,17.0,1,0,1
CUST50165,9,Two year,24.65,205.51,DSL,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,No,2,6.68,0,0,0
CUST50166,17,Two year,111.89,1665.34,Fiber optic,No,No,Yes,Credit card (auto),No,0,Yes,No,Yes,No,1,9.09,1,0,0
CUST50167,17,One year,82.29,1314.34,DSL,No,Yes,No,Electronic check,No,0,No,Yes,Yes,No,2,13.65,0,0,1
CUST50168,6,Month-to-month,31.44,204.24,Fiber optic,No,No,No,Credit card (auto),No,0,Yes,No,Yes,Yes,5,14.78,1,1,1
CUST50169,52,One year,67.08,3083.01,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,No,Yes,No,4,0.0,2,2,0
CUST50170,12,One year,43.78,586.47,Fiber optic,No,No,No,Credit card (auto),No,0,No,No,Yes,No,5,6.17,0,0,0
CUST50171,1,Month-to-month,111.28,110.18,Fiber optic,Yes,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,No,2,8.67,0,0,1
CUST50172,72,Month-to-month,97.91,7473.03,DSL,No,No,Yes,Electronic check,No,0,Yes,No,Yes,No,1,0.91,0,1,0
CUST50173,44,One year,50.92,2543.27,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,Yes,Yes,Yes,1,0.0,0,0,0
CUST50174,1,One year,110.73,121.55,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,No,1,0.0,1,0,0
CUST50175,4,Month-to-month,74.01,275.65,DSL,No,Yes,Yes,Credit card (auto),No,0,No,No,Yes,No,0,7.95,0,1,1
CUST50176,1,Month-to-month,27.86,31.54,DSL,No,No,No,Mailed check,No,1,No,No,Yes,Yes,2,11.04,0,0,1
CUST50177,1,Two year,74.12,68.16,Fiber optic,Yes,Yes,Yes,Credit card (auto),No,0,Yes,Yes,Yes,No,1,3.06,0,1,1
CUST50178,8,Month-to-month,42.98,304.67,Fiber optic,No,No,Yes,Electronic check,No,1,Yes,No,Yes,No,1,14.01,2,1,0
CUST50179,1,Two year,28.84,24.61,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,No,Yes,Yes,3,0.0,2,0,0
CUST50180,7,One year,26.85,201.09,Fiber optic,Yes,Yes,Yes,Bank transfer (auto),Yes,0,No,Yes,Yes,No,2,11.22,0,0,1
CUST50181,9,Month-to-month,104.68,1031.29,DSL,Yes,No,No,Bank transfer (auto),Yes,0,Yes,Yes,Yes,No,4,48.02,1,1,1
CUST50182,17,Month-to-month,80.16,1322.59,DSL,No,No,No,Credit card (auto),Yes,1,Yes,No,Yes,Yes,0,7.03,1,1,0
CUST50183,13,Month-to-month,69.07,811.78,Fiber optic,No,No,No,Mailed check,Yes,0,No,No,Yes,Yes,1,7.02,0,1,0
CUST50184,23,Two year,83.95,2180.11,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,No,3,0.0,0,0,0
CUST50185,11,Two year,102.37,995.86,DSL,Yes,No,No,Credit card (auto),Yes,1,No,No,Yes,No,2,35.03,0,0,0
CUST50186,11,Month-to-month,87.11,1078.13,DSL,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,No,No phone service,0,16.42,0,0,0
